mese,categoria,cod_stazione,ruolo,oltre_10,info_mancante,in_ritardo,in_orario,parzialmente_cancellate,in_anticipo,minuti_ritardo_tot,oltre_5,corse_osservate,oltre_15,oltre_30,minuti_anticipo_tot,oltre_60,effettuate,soppresse,cancellate_tot,minuti_netti_tot,cancellate,nome_stazione,ritardo_medio,ritardo_mediano,p95,p90
2026-03,IC,S07810,partenza,11,0,21,7,0,3,384.0,21,31,8,3,8.0,1,30,1,0,376.0,0,PESCARA,12.129032258064516,8.0,39.5,24.0
2026-03,IC,S07824,arrivo,1,0,1,1,0,0,17.0,1,2,0,0,0.0,0,2,0,0,17.0,0,VASTO S.SALVO,8.5,8.5,12.55,12.1
2026-03,IC,S07824,partenza,0,0,0,0,0,2,0.0,0,2,0,0,7.0,0,2,0,0,-7.0,0,VASTO S.SALVO,-3.5,-3.5,-3.05,-3.1
2026-03,IC,S08217,arrivo,0,0,0,1,0,0,4.0,0,1,0,0,0.0,0,0,0,1,4.0,1,ROMA TIBURTINA,4.0,4.0,4.0,4.0
2026-03,IC,S08406,partenza,0,0,1,0,0,0,8.0,1,1,0,0,0.0,0,0,0,1,8.0,1,ROMA OSTIENSE,8.0,8.0,8.0,8.0
2026-03,IC,S08409,arrivo,63,0,115,158,0,250,2522.0,115,523,39,20,1208.0,6,520,2,1,1314.0,1,ROMA TERMINI,2.5124282982791586,0.0,24.0,11.0
2026-03,IC,S08409,partenza,93,0,177,125,5,255,3717.0,177,557,63,30,1215.0,7,550,1,6,2502.0,1,ROMA TERMINI,4.491921005385996,0.0,31.199999999999932,16.0
2026-03,IC,S09218,arrivo,25,0,40,35,0,45,897.0,40,120,15,7,199.0,3,118,1,1,698.0,1,NAPOLI CENTRALE,5.816666666666666,1.5,44.1,16.10000000000001
2026-03,IC,S09218,partenza,18,0,31,19,0,61,547.0,31,111,10,7,259.0,0,109,0,2,288.0,2,NAPOLI CENTRALE,2.5945945945945947,-1.0,31.5,13.0
2026-03,IC,S09818,arrivo,16,0,30,13,0,51,518.0,30,94,13,3,290.0,1,94,0,0,228.0,0,SALERNO,2.425531914893617,-1.0,21.0,16.0
