mese,categoria,cod_stazione,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ruolo,nome_stazione,ritardo_mediano,p95,ritardo_medio,p90
2024-06,NCL,N_DEBAB2A3D4C0,0,1,0,7.0,0,-7.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,REGGIO CALABRIA CENTRALE,-7.0,-7.0,-7.0,-7.0
2024-06,NCL,S00470,0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nodo,ALESSANDRIA,0.0,0.0,0.0,0.0
2024-06,NCL,S01640,0,1,0,24.0,0,-24.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,MILANO CERTOSA,-24.0,-24.0,-24.0,-24.0
2024-06,NCL,S01645,0,1,0,23.0,0,-23.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,MILANO PORTA GARIBALDI,-23.0,-23.0,-23.0,-23.0
2024-06,NCL,S06053,0,2,0,51.0,0,-51.0,2,0,0,0,0,0,0,0,0,0,2,0.0,nodo,1°BIVIO VALDARNO SUD,-25.5,-24.15,-25.5,-24.3
2024-06,NCL,S06909,0,2,0,1.0,0,-1.0,2,1,0,0,0,0,0,0,0,0,1,0.0,nodo,S.GIOVANNI VALDARNO,-0.5,-0.05,-0.5,-0.0999999999999999
2024-06,NCL,S07217,0,3,0,78.0,0,-78.0,3,0,0,0,0,0,0,0,0,0,3,0.0,nodo,FOLIGNO,-26.0,-23.75,-26.0,-24.0
2024-06,NCL,S07221,0,1,0,31.0,0,-31.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,SPOLETO,-31.0,-31.0,-31.0,-31.0
2024-06,NCL,S07226,0,2,0,84.0,0,-84.0,2,0,0,0,0,0,0,0,0,0,2,0.0,nodo,TERNI,-42.0,-42.0,-42.0,-42.0
2024-06,NCL,S08203,0,1,0,0.0,0,19.0,1,0,1,0,1,1,1,0,0,0,0,19.0,nodo,ORVIETO,19.0,19.0,19.0,19.0
2024-06,NCL,S08209,0,2,0,47.0,0,-47.0,2,0,0,0,0,0,0,0,0,0,2,0.0,nodo,ORTE,-23.5,-23.5,-23.5,-23.5
2024-06,NCL,S08219,0,1,0,24.0,0,-24.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,ROMA SMISTAMENTO,-24.0,-24.0,-24.0,-24.0
2024-06,NCL,S08409,0,6,0,95.0,0,-76.0,6,1,1,0,1,1,1,0,0,0,4,19.0,nodo,ROMA TERMINI,-13.5,-3.6000000000000014,-12.666666666666666,-4.7
2024-06,NCL,S09213,0,1,0,61.0,0,-61.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,CANCELLO,-61.0,-61.0,-61.0,-61.0
2024-06,REG,N00025,0,55,0,3.0,0,186.0,55,35,1,0,17,0,17,0,0,0,3,189.0,nodo,VARESE CASBENO,2.0,6.224999999999998,2.813063063063064,5.5
2024-06,REG,N00055,0,717,0,69.0,0,2241.0,717,480,56,0,179,25,179,0,0,0,58,2310.0,nodo,NOVARA NORD,2.0,11.275000000000006,3.1464327439831763,8.0
2024-06,REG,N00066,0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nodo,MEDA,0.0,0.0,0.0,0.0
2024-06,REG,N00068,0,21,0,0.0,0,60.0,21,15,2,0,5,0,5,0,0,0,0,60.0,nodo,MARIANO COMENSE,2.0,10.3,4.372549019607843,8.600000000000001
2024-06,REG,N00074,0,265,0,10.0,0,1544.0,265,110,49,0,146,20,146,0,0,0,9,1554.0,nodo,ERBA,4.5,15.5,5.759192645883294,12.75
2024-06,REG,N00079,0,572,0,59.0,0,2669.0,572,307,82,0,226,32,226,0,0,0,39,2728.0,nodo,ASSO,3.0,14.5,4.646086999214454,11.5
2024-06,REG,N00210,0,269,0,189.0,0,244.0,269,165,9,0,23,6,23,0,0,0,81,433.0,nodo,ISEO,0.0,7.549999999999997,0.7897084048027444,4.050000000000004
2024-06,REG,N00217,0,34,0,11.0,0,33.0,34,29,0,0,3,0,3,0,0,0,2,44.0,nodo,PISOGNE,0.25,5.125,0.96875,4.050000000000001
