giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02-14,FA,S08409,S04700,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2026-02-14,FA,S08409,S09211,1,1,0,0,0,0,0,1,0,1,1,0,0,0,10,0,10,10.0,10.0,10.0,10.0,0,ROMA TERMINI,CASERTA
2026-02-14,FA,S08409,S11781,2,2,0,0,0,0,0,2,0,2,2,2,2,2,163,0,163,81.5,81.5,98.7,100.85,0,ROMA TERMINI,REGGIO DI CALABRIA CENTRALE
2026-02-14,FA,S09211,S08409,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17,-17,-17.0,-17.0,-17.0,-17.0,0,CASERTA,ROMA TERMINI
2026-02-14,FA,S11781,S08409,2,2,0,0,0,0,0,2,0,2,2,2,2,1,151,0,151,75.5,75.5,92.7,94.85,0,REGGIO DI CALABRIA CENTRALE,ROMA TERMINI
2026-02-14,FB,S01700,S08409,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,0,MILANO CENTRALE,ROMA TERMINI
2026-02-14,FB,S04700,S08409,3,2,0,0,1,0,1,2,0,2,2,2,2,2,218,0,218,72.66666666666667,106.0,110.8,111.4,1,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2026-02-14,FB,S08409,S01700,1,1,0,0,0,0,0,1,0,1,1,0,0,0,10,0,10,10.0,10.0,10.0,10.0,0,ROMA TERMINI,MILANO CENTRALE
2026-02-14,FB,S08409,S04700,2,2,0,0,0,0,0,2,0,2,2,2,1,1,98,0,98,49.0,49.0,72.2,75.1,0,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2026-02-14,FR,S00202,S09218,1,1,0,0,0,0,0,1,0,1,1,1,1,1,116,0,116,116.0,116.0,116.0,116.0,0,BARDONECCHIA,NAPOLI CENTRALE
2026-02-14,FR,S00219,S02593,3,3,0,0,0,0,2,0,1,0,0,0,0,0,3,2,1,0.3333333333333333,1.0,1.8,1.9,0,TORINO PORTA NUOVA,VENEZIA S.LUCIA
2026-02-14,FR,S00219,S03317,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,TORINO PORTA NUOVA,TRIESTE CENTRALE
2026-02-14,FR,S00219,S08409,5,4,0,1,0,0,2,3,0,3,3,3,3,1,203,0,203,40.6,36.0,87.60000000000001,98.79999999999998,0,TORINO PORTA NUOVA,ROMA TERMINI
2026-02-14,FR,S00219,S09218,8,7,1,0,0,0,0,8,0,8,8,7,7,6,1008,0,1008,126.0,131.5,194.9,209.95,1,TORINO PORTA NUOVA,NAPOLI CENTRALE
2026-02-14,FR,S00219,S09818,1,1,0,0,0,0,0,1,0,1,1,1,1,1,111,0,111,111.0,111.0,111.0,111.0,0,TORINO PORTA NUOVA,SALERNO
2026-02-14,FR,S00219,S11145,1,1,0,0,0,0,0,1,0,1,1,1,0,0,19,0,19,19.0,19.0,19.0,19.0,0,TORINO PORTA NUOVA,LECCE
2026-02-14,FR,S00219,S11781,2,2,0,0,0,0,0,2,0,2,2,2,2,2,300,0,300,150.0,150.0,213.2,221.1,0,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2026-02-14,FR,S01700,S00219,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,0,8,8.0,8.0,8.0,8.0,0,MILANO CENTRALE,TORINO PORTA NUOVA
2026-02-14,FR,S01700,S02026,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,MILANO CENTRALE,BOLZANO
2026-02-14,FR,S01700,S02593,9,9,0,0,0,0,5,4,0,4,1,1,0,0,47,0,47,5.222222222222222,4.0,9.200000000000005,13.599999999999996,0,MILANO CENTRALE,VENEZIA S.LUCIA
2026-02-14,FR,S01700,S03026,2,2,0,0,0,0,1,1,0,1,0,0,0,0,8,0,8,4.0,4.0,7.2,7.6,0,MILANO CENTRALE,UDINE
2026-02-14,FR,S01700,S03317,3,3,0,0,0,0,0,2,1,2,1,1,0,0,28,5,23,7.666666666666667,8.0,17.6,18.8,0,MILANO CENTRALE,TRIESTE CENTRALE
2026-02-14,FR,S01700,S07113,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,24,-24,-12.0,-12.0,-5.6,-4.800000000000001,0,MILANO CENTRALE,ANCONA
2026-02-14,FR,S01700,S07810,2,2,0,0,0,0,0,2,0,2,1,1,1,0,43,0,43,21.5,21.5,32.3,33.65,0,MILANO CENTRALE,PESCARA
2026-02-14,FR,S01700,S08409,6,4,0,2,0,0,2,2,2,2,2,2,2,2,261,7,254,42.333333333333336,0.0,130.5,137.75,0,MILANO CENTRALE,ROMA TERMINI
2026-02-14,FR,S01700,S09211,2,1,0,1,0,0,1,1,0,1,1,1,1,1,82,0,82,41.0,41.0,73.8,77.89999999999999,0,MILANO CENTRALE,CASERTA
2026-02-14,FR,S01700,S09218,4,3,1,0,0,0,0,4,0,4,4,4,4,4,447,0,447,111.75,103.5,140.3,146.14999999999998,1,MILANO CENTRALE,NAPOLI CENTRALE
2026-02-14,FR,S01700,S09818,5,4,0,1,0,0,1,4,0,4,4,4,3,2,449,0,449,89.8,53.0,186.4,187.2,0,MILANO CENTRALE,SALERNO
