mese,tipo_giorno,fascia_oraria,categoria,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ritardo_mediano,p95,ritardo_medio,p90
2024-07,infrasettimanale,mattina,EXP,0,2,0,0.0,1,68.0,2,1,1,0,1,1,1,0,0,1,0,68.0,34.0,61.0,34.0,58.0
2024-07,infrasettimanale,mattina,IC,0,568,0,364.0,30,7870.0,568,164,190,0,309,143,309,0,0,74,95,8234.0,5.0,60.0,13.855633802816902,37.0
2024-07,infrasettimanale,mattina,ICN,0,16,0,122.0,1,130.0,16,0,6,0,6,5,6,0,0,5,10,252.0,-1.5,55.5,8.125,46.0
2024-07,infrasettimanale,mattina,MET,0,1135,0,1134.0,0,8.0,1135,528,11,0,44,5,44,0,0,2,553,1142.0,0.0,4.0,0.0071111111111111,3.0
2024-07,infrasettimanale,mattina,NCL,0,1,0,0.0,0,5.0,1,0,0,0,1,0,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0
2024-07,infrasettimanale,mattina,REG,0,36040,0,33576.0,81,65947.0,36040,16434,2270,0,5941,1286,5941,0,0,398,13484,99523.0,1.0,11.0,1.839064112217296,7.0
2024-07,infrasettimanale,mattina,,0,3494,0,2136.0,194,52048.0,3494,866,1398,0,2040,1018,2040,0,0,502,588,54184.0,7.0,63.69999999999983,14.896393817973667,39.0
2024-07,infrasettimanale,notte,DIR,0,1,0,1.0,0,-1.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,-1.0
2024-07,infrasettimanale,notte,EC,0,1,0,3.0,0,-3.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-3.0,-3.0,-3.0,-3.0
2024-07,infrasettimanale,notte,EN,0,23,0,20.0,2,329.0,23,2,10,0,14,7,14,0,0,3,7,349.0,8.0,62.49999999999998,14.304347826086952,44.600000000000016
2024-07,infrasettimanale,notte,EXP,0,1,0,0.0,0,31.0,1,0,1,0,1,1,1,0,0,1,0,31.0,31.0,31.0,31.0,31.0
2024-07,infrasettimanale,notte,IC,0,277,0,221.0,12,4096.0,277,56,122,0,171,90,171,0,0,50,48,4317.0,8.0,56.30000000000001,14.894545454545455,43.6
2024-07,infrasettimanale,notte,ICN,0,34,0,68.0,4,446.0,34,7,8,0,11,7,11,0,0,7,16,514.0,0.5,71.49999999999997,13.117647058823527,60.1
2024-07,infrasettimanale,notte,MET,0,430,0,629.0,0,-340.0,430,151,3,0,12,1,12,0,0,0,266,289.0,-1.0,3.0,-0.7925407925407926,2.0
2024-07,infrasettimanale,notte,REG,0,14743,0,16817.0,32,20652.0,14743,6191,880,0,2162,517,2162,0,0,159,6338,37469.0,0.0,11.0,1.405758627731264,6.0
2024-07,infrasettimanale,notte,,0,1194,0,1278.0,40,12102.0,1194,340,342,0,540,266,540,0,0,126,312,13380.0,4.0,47.0,10.15268456375839,30.0
2024-07,infrasettimanale,pomeriggio,EC,0,167,0,39.0,7,2891.0,167,29,93,0,122,68,122,0,0,31,16,2930.0,11.0,55.0,17.311377245508982,43.400000000000006
2024-07,infrasettimanale,pomeriggio,EN,0,17,0,0.0,5,736.0,17,0,14,0,17,13,17,0,0,10,0,736.0,31.0,113.79999999999998,43.294117647058826,84.20000000000002
2024-07,infrasettimanale,pomeriggio,EXP,0,5,0,71.0,0,-51.0,5,0,1,0,1,1,1,0,0,0,4,20.0,-12.0,14.999999999999996,-10.2,10.000000000000002
2024-07,infrasettimanale,pomeriggio,IC,0,464,0,158.0,41,9589.0,464,100,241,0,314,190,314,0,0,105,47,9747.0,10.0,78.0,20.8004338394794,56.0
2024-07,infrasettimanale,pomeriggio,ICN,0,3,0,1.0,0,1.0,3,2,0,0,0,0,0,0,0,0,1,2.0,1.0,1.0,0.3333333333333333,1.0
2024-07,infrasettimanale,pomeriggio,IR,0,1,0,0.0,0,4.0,1,1,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0
2024-07,infrasettimanale,pomeriggio,MET,0,1360,0,1389.0,0,200.0,1360,537,38,0,91,10,91,0,0,4,689,1589.0,-1.0,6.0,0.1518602885345482,3.0
2024-07,infrasettimanale,pomeriggio,NCL,0,3,0,149.0,0,-147.0,3,1,0,0,0,0,0,0,0,0,2,2.0,-74.0,-5.6000000000000085,-49.0,-13.199999999999996
2024-07,infrasettimanale,pomeriggio,REG,0,43477,0,37336.0,132,117277.0,43477,18858,4049,0,9210,2351,9210,0,0,728,15041,154613.0,1.0,15.0,2.720476002690853,9.0
2024-07,infrasettimanale,pomeriggio,,0,2992,0,1370.0,202,57042.0,2992,566,1544,0,2012,1240,2012,0,0,600,406,58412.0,11.0,71.45000000000005,19.115951742627345,48.0
2024-07,infrasettimanale,sera,EC,0,66,0,42.0,2,815.0,66,11,21,0,40,13,40,0,0,9,14,857.0,6.0,50.39999999999999,12.538461538461538,38.8
2024-07,infrasettimanale,sera,EXP,0,8,0,53.0,0,-23.0,8,1,1,0,3,0,3,0,0,0,4,30.0,-0.5,10.95,-2.875,9.9
2024-07,infrasettimanale,sera,IC,0,319,0,355.0,26,6476.0,319,65,130,0,177,102,177,0,0,57,75,6831.0,6.0,92.3999999999998,20.42902208201893,49.400000000000034
2024-07,infrasettimanale,sera,ICN,0,187,0,154.0,15,3278.0,187,49,70,0,100,50,100,0,0,32,38,3432.0,5.0,85.79999999999995,17.529411764705884,47.20000000000002
2024-07,infrasettimanale,sera,MET,0,1326,0,1292.0,1,351.0,1326,607,29,0,80,15,80,0,0,4,629,1643.0,0.0,5.0,0.2667173252279635,3.0
2024-07,infrasettimanale,sera,NCL,0,1,0,0.0,0,5.0,1,0,0,0,1,0,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0
2024-07,infrasettimanale,sera,REG,0,34448,0,31822.0,91,92091.0,34448,14268,3408,0,7615,1959,7615,0,0,599,12352,123913.0,1.0,16.0,2.6899664086461224,9.0
2024-07,infrasettimanale,sera,,0,1158,0,1526.0,4,8432.0,1158,286,368,0,560,236,560,0,0,70,312,9958.0,4.0,34.10000000000002,7.281519861830743,24.200000000000045
2024-07,infrasettimanale,tarda_mattina,DIR,0,1,0,0.0,0,38.0,1,0,1,0,1,1,1,0,0,1,0,38.0,38.0,38.0,38.0,38.0
2024-07,infrasettimanale,tarda_mattina,EC,0,171,0,148.0,7,1942.0,171,36,63,0,89,41,89,0,0,22,45,2090.0,5.0,46.74999999999992,11.423529411764706,35.099999999999994
2024-07,infrasettimanale,tarda_mattina,EXP,0,2,0,2.0,0,11.0,2,0,1,0,1,0,1,0,0,0,1,13.0,5.5,12.25,5.5,11.5
2024-07,infrasettimanale,tarda_mattina,IC,0,531,0,659.0,32,8943.0,531,92,221,0,305,168,305,0,0,95,132,9602.0,7.0,63.199999999999925,16.905482041587902,51.0
2024-07,infrasettimanale,tarda_mattina,ICN,0,34,0,47.0,2,390.0,34,5,13,0,17,10,17,0,0,3,12,437.0,6.0,42.89999999999993,11.470588235294118,26.2
2024-07,infrasettimanale,tarda_mattina,IR,0,1,0,0.0,1,88.0,1,0,1,0,1,1,1,0,0,1,0,88.0,88.0,88.0,88.0,88.0
2024-07,infrasettimanale,tarda_mattina,MET,0,1572,0,1782.0,6,547.0,1572,629,26,0,85,20,85,0,0,12,844,2329.0,-1.0,5.0,0.35109114249037227,3.0
2024-07,infrasettimanale,tarda_mattina,NCL,0,3,0,44.0,0,18.0,3,0,2,0,2,1,2,0,0,1,1,62.0,10.0,47.79999999999999,6.0,43.6
2024-07,infrasettimanale,tarda_mattina,REG,0,44600,0,41527.0,71,77026.0,44600,20056,2832,0,7326,1550,7326,0,0,410,17026,118553.0,1.0,11.0,1.734507295982706,7.0
2024-07,infrasettimanale,tarda_mattina,,0,3144,0,1402.0,222,58996.0,3144,694,1500,0,2040,1196,2040,0,0,630,408,60398.0,9.0,70.0,18.776575429662635,51.0
2024-07,weekend,mattina,EC,0,17,0,53.0,0,6.0,17,3,1,0,3,1,3,0,0,1,11,59.0,-3.0,13.59999999999998,0.3529411764705882,6.800000000000001
2024-07,weekend,mattina,IC,0,194,0,173.0,9,2170.0,194,63,58,0,84,40,84,0,0,20,45,2343.0,3.0,57.0,11.302083333333336,34.400000000000034
2024-07,weekend,mattina,ICN,0,5,0,53.0,0,-53.0,5,1,0,0,0,0,0,0,0,0,4,0.0,-9.0,-1.8000000000000014,-10.6,-3.6
2024-07,weekend,mattina,MET,0,340,0,339.0,1,174.0,340,156,6,0,25,5,25,0,0,1,141,513.0,0.0,5.0,0.5403726708074534,3.0
2024-07,weekend,mattina,REG,0,8622,0,9075.0,21,12098.0,8622,3597,495,0,1168,291,1168,0,0,114,3516,21173.0,0.0,11.0,1.4609346697258785,6.0
2024-07,weekend,mattina,,0,1070,0,948.0,54,12824.0,1070,292,330,0,518,244,518,0,0,120,246,13772.0,4.0,64.8499999999998,12.143939393939394,32.60000000000002
2024-07,weekend,notte,EN,0,8,0,0.0,2,439.0,8,2,5,0,6,4,6,0,0,3,0,439.0,14.0,194.79999999999995,54.875,148.59999999999997
2024-07,weekend,notte,EXP,0,1,0,27.0,0,-27.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-27.0,-27.0,-27.0,-27.0
2024-07,weekend,notte,IC,0,98,0,159.0,5,1218.0,98,16,38,0,51,27,51,0,0,14,31,1377.0,5.0,51.99999999999983,12.428571428571429,35.3
2024-07,weekend,notte,ICN,0,11,0,86.0,0,33.0,11,1,4,0,4,3,4,0,0,2,6,119.0,-4.0,44.0,3.0,32.0
2024-07,weekend,notte,IR,0,1,0,0.0,0,4.0,1,1,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0
2024-07,weekend,notte,MET,0,126,0,202.0,0,-125.0,126,36,2,0,4,0,4,0,0,0,76,77.0,-2.0,3.25,-1.0775862068965518,2.0
2024-07,weekend,notte,NCL,0,3,0,0.0,2,195.0,3,0,3,0,3,3,3,0,0,3,0,195.0,62.0,89.0,65.0,86.0
2024-07,weekend,notte,REG,0,3732,0,4653.0,13,4969.0,3732,1457,233,0,502,143,502,0,0,53,1649,9622.0,0.0,12.0,1.3772172949002215,6.0
2024-07,weekend,notte,,0,306,0,446.0,6,2850.0,306,72,92,0,138,70,138,0,0,36,92,3296.0,4.0,45.5,9.437086092715232,35.0
2024-07,weekend,pomeriggio,EC,0,56,0,36.0,4,961.0,56,8,27,0,35,21,35,0,0,12,12,997.0,9.0,69.59999999999997,17.472727272727273,43.80000000000001
2024-07,weekend,pomeriggio,EN,0,4,0,0.0,0,66.0,4,1,3,0,3,2,3,0,0,0,0,66.0,19.0,26.85,16.5,26.7
2024-07,weekend,pomeriggio,IC,0,154,0,140.0,8,2389.0,154,28,73,0,92,55,92,0,0,24,32,2529.0,9.0,58.89999999999998,15.717105263157896,47.70000000000002
2024-07,weekend,pomeriggio,IR,0,1,0,0.0,0,10.0,1,0,1,0,1,0,1,0,0,0,0,10.0,10.0,10.0,10.0,10.0
2024-07,weekend,pomeriggio,MET,0,406,0,494.0,0,288.0,406,141,22,0,35,17,35,0,0,6,210,782.0,-1.0,11.5,0.7461139896373057,4.0
2024-07,weekend,pomeriggio,REG,0,10702,0,10638.0,28,21780.0,10702,4331,828,0,1849,482,1849,0,0,166,4122,32418.0,0.0,14.0,2.114152591729761,8.0
2024-07,weekend,pomeriggio,,0,978,0,892.0,44,12024.0,978,216,362,0,508,268,508,0,0,140,244,12916.0,5.0,53.69999999999993,12.421487603305785,39.69999999999999
2024-07,weekend,sera,EC,0,28,0,30.0,1,379.0,28,2,12,0,16,10,16,0,0,5,10,409.0,5.0,44.65,13.535714285714286,41.2
2024-07,weekend,sera,EXP,0,1,0,0.0,0,48.0,1,0,1,0,1,1,1,0,0,1,0,48.0,48.0,48.0,48.0,48.0
2024-07,weekend,sera,IC,0,100,0,110.0,5,1574.0,100,19,43,0,59,32,59,0,0,17,21,1684.0,8.0,59.399999999999984,15.898989898989901,44.0
2024-07,weekend,sera,ICN,0,79,0,129.0,2,425.0,79,22,16,0,29,8,29,0,0,4,28,554.0,1.0,28.699999999999903,5.379746835443038,14.400000000000018
2024-07,weekend,sera,IR,0,2,0,0.0,0,62.0,2,0,2,0,2,2,2,0,0,1,0,62.0,31.0,40.9,31.0,39.8
2024-07,weekend,sera,MET,0,363,0,332.0,0,125.0,363,142,10,0,23,8,23,0,0,1,169,457.0,-1.0,5.349999999999966,0.374251497005988,3.0
2024-07,weekend,sera,REG,0,8819,0,8790.0,23,19124.0,8819,3514,759,0,1620,431,1620,0,0,153,3398,27914.0,1.0,15.0,2.241443975621191,9.0
2024-07,weekend,sera,,0,402,0,2464.0,8,1124.0,402,68,110,0,150,86,150,0,0,42,180,3588.0,1.0,42.1,2.824120603015076,31.0
2024-07,weekend,tarda_mattina,EC,0,66,0,46.0,2,685.0,66,16,20,0,29,15,29,0,0,7,20,731.0,4.0,48.99999999999999,10.538461538461538,32.20000000000001
