giorno,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95
2024-06-16 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0
2024-06-16 00:00:00,IC,94,88.0,6.0,0.0,0.0,6.0,3.0,52.0,33.0,36.0,28.0,23.0,13.0,5.0,1140.0,240.0,900.0,10.227272727272727,2.0,36.499999999999986,64.39999999999986
2024-06-16 00:00:00,ICN,16,16.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,7.0,5.0,3.0,2.0,1.0,229.0,17.0,212.0,13.25,2.5,41.5,69.25
2024-06-16 00:00:00,MET,45,1.0,44.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16 00:00:00,REG,2631,1265.0,1366.0,0.0,0.0,1366.0,121.0,597.0,547.0,264.0,202.0,159.0,79.0,13.0,7376.0,1576.0,5800.0,4.58498023715415,0.0,20.0,35.799999999999955
2024-06-17 00:00:00,,249,249.0,0.0,0.0,0.0,0.0,9.0,189.0,51.0,144.0,106.0,81.0,44.0,19.0,4350.0,179.0,4171.0,16.751004016064257,8.0,51.400000000000034,72.19999999999999
2024-06-17 00:00:00,EC,19,19.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,7.0,5.0,2.0,1.0,0.0,152.0,24.0,128.0,6.7368421052631575,3.0,15.999999999999996,23.599999999999923
2024-06-17 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0
2024-06-17 00:00:00,IC,99,99.0,0.0,0.0,0.0,0.0,3.0,78.0,18.0,51.0,32.0,27.0,13.0,2.0,1307.0,91.0,1216.0,12.282828282828282,6.0,38.80000000000001,46.599999999999966
2024-06-17 00:00:00,ICN,16,16.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,7.0,5.0,5.0,1.0,0.0,160.0,24.0,136.0,8.5,4.5,21.0,31.0
2024-06-17 00:00:00,MET,223,223.0,0.0,0.0,0.0,0.0,21.0,91.0,111.0,7.0,5.0,4.0,1.0,0.0,321.0,239.0,82.0,0.36771300448430494,0.0,3.0,4.899999999999977
2024-06-17 00:00:00,REG,7705,7666.0,39.0,0.0,0.0,39.0,786.0,4030.0,2850.0,1083.0,481.0,283.0,100.0,10.0,22576.0,7335.0,15241.0,1.988129402556744,1.0,7.0,12.0
2024-06-18 00:00:00,,266,266.0,0.0,0.0,0.0,0.0,12.0,195.0,59.0,132.0,84.0,62.0,30.0,13.0,3532.0,206.0,3326.0,12.503759398496241,5.0,35.5,58.5
2024-06-18 00:00:00,EC,17,17.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,11.0,9.0,8.0,3.0,2.0,436.0,9.0,427.0,25.11764705882353,11.0,58.400000000000006,95.79999999999993
2024-06-18 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,173.0,0.0,173.0,86.5,86.5,145.3,152.65
2024-06-18 00:00:00,EXP,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,227.0,0.0,227.0,113.5,113.5,201.10000000000002,212.04999999999998
2024-06-18 00:00:00,IC,103,103.0,0.0,0.0,0.0,0.0,6.0,71.0,26.0,52.0,31.0,19.0,9.0,2.0,1040.0,126.0,914.0,8.87378640776699,6.0,28.59999999999998,34.79999999999998
2024-06-18 00:00:00,ICN,16,16.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,2.0,0.0,0.0,0.0,57.0,68.0,-11.0,-0.6875,-2.0,12.0,14.0
2024-06-18 00:00:00,MET,226,224.0,2.0,0.0,0.0,2.0,20.0,82.0,122.0,16.0,4.0,3.0,1.0,0.0,301.0,252.0,49.0,0.21875,-1.0,3.0,6.849999999999994
2024-06-18 00:00:00,REG,7695,7658.0,37.0,0.0,0.0,37.0,748.0,4003.0,2907.0,1091.0,483.0,284.0,87.0,15.0,22781.0,7388.0,15393.0,2.010054844606947,1.0,7.0,12.149999999999636
2024-06-19 00:00:00,,267,266.0,1.0,0.0,0.0,1.0,7.0,197.0,62.0,118.0,70.0,48.0,15.0,2.0,2285.0,255.0,2030.0,7.631578947368421,5.0,22.5,31.0
2024-06-19 00:00:00,EC,18,18.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,9.0,9.0,4.0,3.0,0.0,206.0,13.0,193.0,10.722222222222221,7.5,31.0,33.84999999999997
2024-06-19 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,81.0,0.0,81.0,40.5,40.5,59.300000000000004,61.65
2024-06-19 00:00:00,IC,98,98.0,0.0,0.0,0.0,0.0,5.0,73.0,20.0,40.0,25.0,18.0,8.0,1.0,939.0,98.0,841.0,8.581632653061224,3.5,26.299999999999997,47.599999999999966
2024-06-19 00:00:00,ICN,14,14.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,5.0,5.0,2.0,0.0,174.0,33.0,141.0,10.071428571428571,5.0,31.400000000000002,41.79999999999999
2024-06-19 00:00:00,MET,223,223.0,0.0,0.0,0.0,0.0,27.0,75.0,121.0,3.0,1.0,1.0,0.0,0.0,169.0,246.0,-77.0,-0.3452914798206278,-1.0,2.0,4.0
2024-06-19 00:00:00,NCL,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2024-06-19 00:00:00,REG,7712,7672.0,40.0,0.0,0.0,40.0,714.0,3904.0,3054.0,932.0,348.0,204.0,53.0,5.0,19071.0,7799.0,11272.0,1.4692387904066737,1.0,6.0,10.0
2024-06-20 00:00:00,,266,266.0,0.0,0.0,0.0,0.0,8.0,192.0,66.0,106.0,68.0,50.0,19.0,5.0,2500.0,235.0,2265.0,8.515037593984962,4.0,24.5,42.0
2024-06-20 00:00:00,EC,19,19.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0,7.0,2.0,2.0,2.0,2.0,214.0,10.0,204.0,10.736842105263158,3.0,22.199999999999957,72.49999999999997
2024-06-20 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,37.0,0.0,37.0,18.5,18.5,26.099999999999998,27.049999999999997
2024-06-20 00:00:00,IC,96,96.0,0.0,0.0,0.0,0.0,6.0,65.0,25.0,45.0,32.0,23.0,12.0,4.0,1176.0,90.0,1086.0,11.3125,5.0,34.5,50.5
2024-06-20 00:00:00,ICN,18,18.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,10.0,8.0,7.0,3.0,2.0,332.0,20.0,312.0,17.333333333333332,8.5,60.000000000000014,74.0
2024-06-20 00:00:00,MET,227,224.0,3.0,0.0,0.0,3.0,29.0,80.0,115.0,29.0,17.0,6.0,1.0,0.0,464.0,252.0,212.0,0.9464285714285714,-1.0,7.700000000000017,13.0
2024-06-20 00:00:00,REG,7716,7684.0,32.0,0.0,0.0,32.0,719.0,4078.0,2887.0,1087.0,498.0,276.0,90.0,18.0,22847.0,7376.0,15471.0,2.0134044768349817,1.0,7.0,13.0
2024-06-21 00:00:00,,243,241.0,2.0,0.0,0.0,2.0,4.0,197.0,40.0,150.0,110.0,95.0,72.0,51.0,7284.0,144.0,7140.0,29.62655601659751,9.0,83.0,120.0
2024-06-21 00:00:00,EC,19,19.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,14.0,10.0,8.0,8.0,6.0,961.0,4.0,957.0,50.36842105263158,15.0,142.19999999999993,196.7
2024-06-21 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,350.0,0.0,350.0,175.0,175.0,289.4,303.7
2024-06-21 00:00:00,EXP,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0
2024-06-21 00:00:00,IC,102,102.0,0.0,0.0,0.0,0.0,4.0,78.0,20.0,59.0,42.0,37.0,27.0,14.0,2477.0,81.0,2396.0,23.49019607843137,7.0,70.60000000000002,91.64999999999992
2024-06-21 00:00:00,ICN,13,13.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,3.0,2.0,0.0,0.0,81.0,64.0,17.0,1.3076923076923077,6.0,15.200000000000003,16.4
2024-06-21 00:00:00,MET,231,226.0,5.0,0.0,0.0,5.0,13.0,101.0,112.0,32.0,25.0,11.0,1.0,0.0,654.0,257.0,397.0,1.7566371681415929,0.0,11.0,15.0
2024-06-21 00:00:00,REG,7657,7608.0,49.0,0.0,0.0,49.0,742.0,4083.0,2783.0,1227.0,586.0,370.0,150.0,49.0,27612.0,7191.0,20421.0,2.684148264984227,1.0,8.0,15.0
2024-06-22 00:00:00,,250,250.0,0.0,0.0,0.0,0.0,9.0,162.0,79.0,86.0,59.0,40.0,17.0,4.0,1979.0,308.0,1671.0,6.684,2.0,22.0,35.0
2024-06-22 00:00:00,EC,22,22.0,0.0,0.0,0.0,0.0,1.0,13.0,8.0,6.0,3.0,0.0,0.0,0.0,88.0,20.0,68.0,3.090909090909091,1.5,12.700000000000006,14.899999999999999
2024-06-22 00:00:00,EN,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,108.0,0.0,108.0,54.0,54.0,90.8,95.4
